2026-03-24 05:15:42 | INFO     | [text_detector ] | KAC | [bold cyan]\[text_detector][/bold cyan] Logger initialized
2026-03-24 05:15:43 | INFO     | [main          ] | KAC | [bold cyan]\[main][/bold cyan] Logger initialized
2026-03-24 05:15:43 | INFO     | [main          ] | KAC | [bold cyan]\[main][/bold cyan] Configuration loaded successfully
2026-03-24 05:15:43 | INFO     | [main          ] | KAC | [bold cyan]\[main][/bold cyan] ka11y API starting up
2026-03-24 05:15:54 | INFO     | [combined      ] | KAC | [bold cyan]\[combined][/bold cyan] [combined] job 5ae65661-71b5-49f9-babb-bbe244914c16 submitted for https://www.bluecaffeine.com/
2026-03-24 05:15:54 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan] Crawler initialised — base_url=https://www.bluecaffeine.com/
2026-03-24 05:16:10 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan] Page loaded (domcontentloaded strategy)
2026-03-24 05:16:11 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan] Scroll pass 1/3
2026-03-24 05:16:14 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan] Scroll pass 2/3
2026-03-24 05:16:17 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan] Scroll pass 3/3
2026-03-24 05:16:20 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan] Lazy-load trigger complete
2026-03-24 05:16:22 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   carousels: clicked 2
2026-03-24 05:16:22 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan] reveal_hidden_images complete — 2 elements triggered
2026-03-24 05:16:22 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan] PASS 1: 75 img elements
2026-03-24 05:16:23 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': True, 'inRealLink': True, 'linkHref': 'https://www.bluecaffeine.com/', 'hasClick': True}
2026-03-24 05:16:23 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 1b] functional/logos
2026-03-24 05:16:23 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [functional/logos] img_257217c414f1.png
2026-03-24 05:16:23 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': True, 'inRealLink': True, 'linkHref': 'https://www.bluecaffeine.com/', 'hasClick': True}
2026-03-24 05:16:23 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 1b] functional/logos
2026-03-24 05:16:24 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [functional/logos] img_3eb072697322.png
2026-03-24 05:16:24 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': True, 'inRealLink': True, 'linkHref': 'https://www.bluecaffeine.com/', 'hasClick': True}
2026-03-24 05:16:24 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 1b] functional/logos
